"id","cik"
277,"1261333"
281,"1773383"
284,"1437491"
287,"1707753"
289,"813747"
291,"1437352"
293,"943894"
296,"1653115"
299,"1288847"
488,"nan"
489,"nan"
302,"1451951"
304,"1020475"
307,"1682325"
490,"nan"
310,"1404655"
311,"1031905"
313,"941685"
491,"320340.0"
317,"1285170"
319,"736012"
322,"1455926"
492,"nan"
493,"nan"
325,"843006"
364,"1020579"
326,"1397183"
195,"1118974"
196,"1556753"
197,"1023731"
198,"1580808"
200,"1085621"
202,"796343"
203,"1342936"
205,"869531"
194,"1459417"
327,"1084048"
210,"1689923"
211,"1085069"
213,"1540755"
214,"1013462"
216,"1441683"
217,"873198"
219,"1477720"
220,"356942"
222,"1362190"
223,"769397"
421,"1353283"
239,"1345423"
227,"845188"
228,"1348334"
230,"1031308"
225,"1348036"
231,"1626450"
234,"849547"
235,"1280058"
237,"1666134"
238,"1073349"
241,"1449574"
244,"1341878"
245,"1054721"
247,"813672"
248,"1609702"
249,"1768267"
251,"1725057"
252,"1451797"
254,"945384"
255,"786620"
257,"877890"
258,"827876"
330,"1006892"
260,"1582589"
262,"1477333"
263,"1613011"
265,"1169561"
267,"1385867"
268,"1535527"
270,"1084577"
271,"1561550"
273,"1133598"
274,"1487906"
278,"1505952"
279,"1467623"
280,"1160951"
282,"1540400"
283,"814549"
285,"1066194"
286,"1088242"
288,"900096"
290,"1337619"
292,"1052054"
294,"814547"
300,"1491978"
295,"922521"
297,"1517413"
298,"1370880"
301,"1262039"
303,"1064722"
305,"1159464"
306,"944480"
309,"1021435"
312,"837852"
314,"714278"
315,"1040863"
316,"1081745"
318,"1470550"
320,"896878"
321,"829323"
323,"727634"
324,"1716726"
328,"807882"
331,"1800667"
329,"1721947"
333,"886903"
334,"1141517"
336,"216430"
339,"791014"
340,"1056696"
341,"1389002"
343,"1540184"
344,"1399694"
346,"789019"
348,"807863"
350,"1470099"
351,"1118417"
352,"1441816"
354,"1566895"
355,"1022701"
357,"1448056"
359,"1031980"
360,"1002517"
361,"1618732"
363,"1660134"
365,"1044777"
366,"727632"
368,"1017655"
370,"1327567"
371,"1084384"
373,"879703"
374,"723531"
376,"1591698"
378,"1603498"
380,"1725579"
382,"876167"
383,"1212458"
385,"857005"
387,"1410384"
388,"1036188"
389,"1107843"
390,"892482"
392,"852437"
393,"1560327"
395,"1286225"
398,"1167419"
399,"823546"
401,"1351285"
402,"1627857"
404,"1158019"
405,"1019671"
407,"1373715"
408,"1506439"
410,"846775"
412,"909687"
414,"1301991"
416,"948708"
418,"354260"
419,"1739942"
420,"1029744"
422,"1517375"
423,"1092699"
425,"1501919"
426,"1643269"
428,"1210634"
429,"1131554"
432,"1353536"
433,"1660280"
435,"1066684"
437,"1554875"
439,"1671933"
440,"1447669"
442,"1016125"
444,"1810806"
445,"1505155"
447,"1499355"
332,"838796"
450,"1166388"
451,"1615165"
454,"1082324"
456,"1124610"
457,"1827032"
459,"704366"
461,"1445305"
463,"1803696"
464,"1511735"
308,"1528396"
338,"1102993"
367,"1568100"
465,"1614178"
467,"855612"
468,"822708"
470,"1541054"
471,"1794515"
473,"1423774"
233,"1019034"
335,"1473654"
481,"nan"
482,"769397.0"
204,"1407847"
207,"1459200"
209,"1701732"
212,"713425"
215,"1433195"
218,"1543739"
221,"884144"
224,"8670"
226,"1418100"
483,"1576169.0"
199,"935036"
201,"1119691"
206,"78749"
208,"1389217"
484,"nan"
229,"1576169"
232,"1786352"
236,"1567900"
485,"1517990.0"
240,"1624512"
242,"1378590"
243,"1567771"
246,"1088316"
250,"109758"
253,"1169652"
486,"nan"
256,"1022505"
259,"1393548"
261,"1535379"
487,"nan"
264,"1103759"
266,"1401680"
269,"1522787"
272,"1724570"
275,"1089443"
276,"317788"
337,"1562594"
494,"nan"
342,"1353499"
495,"nan"
496,"nan"
345,"1001601"
347,"1050446"
349,"1576914"
353,"1423746"
356,"1039280"
358,"849399"
362,"746210"
369,"1321655"
372,"50471"
375,"1590955"
377,"1013857"
379,"1679826"
381,"1124217"
384,"1392972"
386,"1583138"
497,"nan"
391,"1384365"
394,"1046327"
396,"1506270"
397,"1384905"
400,"1423586"
403,"1108524"
406,"1468666"
409,"1351636"
411,"1157817"
413,"1764925"
415,"1366561"
417,"1640147"
424,"1402436"
427,"1739936"
430,"883241"
431,"1389067"
434,"816761"
436,"1085280"
438,"939652"
441,"860731"
443,"835270"
498,"nan"
446,"1361113"
448,"1393052"
449,"1566610"
452,"1806837"
453,"1099509"
455,"1479000"
458,"1100981"
460,"1327811"
462,"1465509"
466,"1463172"
469,"1585521"
472,"1713683"
